text,label_index,label_name,dataset
concert tonight chackin out and not coming tomorrow !,1,neutral,train
is getting the hang of twitter .,1,neutral,train
that ` s why i need to be there ... to represent the blackberries,2,positive,train
dinner with the fam ... i have missed them,0,negative,train
"i feel sorry , i miss you here in the sea beach",2,positive,train
damnit all . that sucks . you were one of the ones i thought i ` d drag back lol,0,negative,train
do n't distrube me,0,negative,train
hahahha lol true that ! i always remember my bd but i can never remember what date or even day it is,1,neutral,train
yes ! sober hahaha tanghaling tapat dude ! haha wild . i don ` t kno plan plan before you go to us !,2,positive,train
"its raining , i need an umbrella",1,neutral,train
i 'm studying in psychology,0,negative,train
done at the spa now meeting vic for some late lunch !,1,neutral,train
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing mcfly did you see me and ma best mate we were in tutus,2,positive,train
powerblog what is this powerblog challenge you keep talking about ? i ` m a newbie follower,1,neutral,train
the 'no pants ' idea could be the new attempt world-wide to attract business back to the airlines .,1,neutral,train
happy mothers day . !,2,positive,train
lets sing a song,2,positive,train
so no rice or crusty bread with the chili .... aawww,1,neutral,train
i am glad to break my twitter virginity with you two .,2,positive,train
bumping dj opus in the drunk in the car . lmao . don ` t act like u don ` t know .,0,negative,train
i 'm playing minecraft video game . i 'm addicated to it .,2,positive,train
whats the day going on,1,neutral,train
im thinking that im going to have fun tonight .... and maybe some changes are coming,2,positive,train
happy mothers day people . i love my mom a lot still,2,positive,train
do you know sign languages,1,neutral,train
sounds like me,1,neutral,train
my sharpie is running dangerously low on ink,0,negative,train
im thinking that im going to have fun tonight .... and maybe some changes are coming,2,positive,train
okay so i ` m dedicating my 300th tweet to the fact that i ` m going to the apple store because there is a huge crack on the glass,1,neutral,train
"okay , i ` m out for a while back later !",1,neutral,train
goodmorning,2,positive,train
come and save me from my packing please ? !,1,neutral,train
i ` m up . i have a plan to transform my bedroom today . random .,1,neutral,train
"its night 2 am , feeling neutral",1,neutral,train
"version 2 of our live , interactive trans-siberian ticket planner is launched",2,positive,train
it means that you are now famous . congrats !,2,positive,train
"jonas brothers - live to party . it ` s rocking so hard i love the song ,",2,positive,train
"hey everyone , do you watch cricket match between eng vs aus yesterday",1,neutral,train
went to sleep and there is a power cut in the village .,1,neutral,train
"yep , finished , chocked full of spelling and grammatical errors , but i ` m cleaning it up tomorrow and popping it up hehe",0,negative,train
happy monday up and about going to tavares today . hope everyone has a blessed day !,2,positive,train
thanks . before the major chop .,1,neutral,train
hicks are mean !,0,negative,train
happy monday up and about going to tavares today . hope everyone has a blessed day !,2,positive,train
my sharpie is running dangerously low on ink,0,negative,train
waiting for tish to get off . got to drive my moms crv to pick her up all my myself and duckie . first time,1,neutral,train
i want to go to music tonight but i lost my voice .,0,negative,train
i know ! !,1,neutral,train
if only we could ever actually be allowed to stay here and do that,1,neutral,train
grabbing coffee from then making mom breakfast,1,neutral,train
"according to , a quarter of families under six live in poverty .",0,negative,train
"happy birthday ! just woke up on this side of earth , so wishes are bit late",2,positive,train
today is a busy day . exhausting !,0,negative,train
let me know how that turns out ! !,1,neutral,train
"red top tabloids , build em up , knock em down",1,neutral,train
yor are so unromantic,0,negative,train
i talk to you,1,neutral,train
errors are red but my life is looks like blue film,0,negative,train
"haha im jewish , i love that one",2,positive,train
aww i miss driving down elmwood,0,negative,train
off to woolsery this morning to ( hopefully ) see north molton u16 clinch the north devon league title . lovely day for it,2,positive,train
"i 'm in the village now and there hardly found internate , feeling gloomy",0,negative,train
"the birds are out , , oh man ... that ` s not cool & & i didn ` t sleep yet for the night ! ! !",0,negative,train
love is something like e=mc^2 rules,1,neutral,train
i just realized that i can ` t forward text msgs with my iphone .,1,neutral,train
"i 'm in the village now and there hardly found internate , feeling gloomy",0,negative,train
today is our eee day,1,neutral,train
2 am feedings for the baby are fun when he is all smiles and coos,2,positive,train
now you only have 2 hours to sleep ... - rest if you need it .,2,positive,train
writing report cards soooo tired but what an amazing day . check it out on fb soon !,2,positive,train
i tried to shtdown my pc and accenditenly i click in the restart button . its really disgusting,0,negative,train
always have wanted to go to university,1,neutral,train
see you in the cloud,1,neutral,train
both of you,1,neutral,train
"i 'm depressed , i 'm thinking about suicide , what i need to do now ?",0,negative,train
tonight in party w/ my girls ( minus vita ),2,positive,train
"that ` s just weird ... : \ oh , and what was it you were drawing for me ?",0,negative,train
watching ellen love her ! ! then doing the dishes and tanning ... it ` s gorgeous out !,2,positive,train
looking forward to your gig in ireland ! ! ! see ya there !,1,neutral,train
i ` m sorry to hear that .,0,negative,train
this concert is amazing,2,positive,train
i don ` t want to sit at home on prom night . someone hang out with me,0,negative,train
here are 4 free notebooks to know machine learning well,1,neutral,train
"felt like * * * * , behaved like my son ; ate to compensate . pigged out on home-roasted sugar almonds . painful tum , threw up , still",0,negative,train
i saw an amazing nightmare yesterday night,1,neutral,train
you know your neck is jacked up when you are forced to pay for parking bc you can ` t turn you head to parallel park in the free spaces,0,negative,train
i feel your pain . mine is the same way,0,negative,train
"had nicotine replacement patch on for 4 hours . so far , so good , but i did sleep for most of those 4 hours . getting a bit twitchy",1,neutral,train
since the demise of woolworths it isn ` t easy to find reasonably priced pick n mix anywhere,0,negative,train
me at forever 21 ethan couldn ` t be there,0,negative,train
is cleaning the house for her family who is comming later today ..,1,neutral,train
thats another sponsor,1,neutral,train
"hmmm , maybe that ` s what they meant .",1,neutral,train
"discovered cause of a bug in the new 4 build . publishing bug fix now , hopefully new beta by tomorrow",2,positive,train
"yeah i was thinking about that , ahaha",2,positive,train
ok ... the passengers ... no one is alive ... they ` re all dead ... you just don ` t know it til the end ... then you cry,0,negative,train
morning tweeple,2,positive,train
i am tres depressed,0,negative,train
just got up and updated my ipod,1,neutral,train
i tried to shtdown my pc and accenditenly i click in the restart button . its really disgusting,0,negative,train
"i saw the play of it here , it was amazing",2,positive,train
"i know it was worth a shot , though !",2,positive,train
the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form aww,1,neutral,train
i have to go to work now .,1,neutral,train
aaaaaw i want to live in the usa,1,neutral,train
dont know whether that helps . google it to know more,1,neutral,train
"felt like * * * * , behaved like my son ; ate to compensate . pigged out on home-roasted sugar almonds . painful tum , threw up , still",0,negative,train
"i buy sophie 's world book , i 'm really so happy",2,positive,train
do n't angry me,0,negative,train
dang last url went down ?,0,negative,train
qood morninq,1,neutral,train
"failed inspection . did you know you can pass wo/oven , but not wo/anti-tip bracket , which is only sold w/oven ? this is worse than taxes .",0,negative,train
"ohoh i missed all ur tweets im gon na have to stay awake all night to see the announcement now , * * * * time difference",0,negative,train
l ` m on 3 days too matt . no fun this weekend .,0,negative,train
you know your neck is jacked up when you are forced to pay for parking bc you can ` t turn you head to parallel park in the free spaces,0,negative,train
"had a great time out in the beer garden wit the boyos ! ! i think the sun got to me a bit though , feel a bit ill !",1,neutral,train
"oh maya , i ` m so sorry ! ! i hope you find her soon ! !",1,neutral,train
walking to class . i hate not having a bike .... especially mine .,0,negative,train
"oh maya , i ` m so sorry ! ! i hope you find her soon ! !",1,neutral,train
seriously bored without anyone to talk to ... but not tired enough for sleep,0,negative,train
i ` d rather do the early run .. but i am a morning runner,1,neutral,train
"thank you for teaching me values and to be a better person each day i love so much , you ` re the best mum in the world",2,positive,train
"just in case you wonder , we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",1,neutral,train
"playing with kids , its amazing",2,positive,train
"* laughs * i ` m glad that you have self confidence - it ` s a wonderful trait to have i ` ll applaud extra loud for it ,",2,positive,train
that ` s very funny . cute kids .,2,positive,train
sorry friends - i ` m swamped with deadlines right now and we have family visiting to boot ! no charades for me .,0,negative,train
pancakes ! ! with lemon and sugar thanks !,2,positive,train
if it is any consolation i got my bmi tested hahaha it says i am obesed well so much for being unhappy for about 10 minutes .,0,negative,train
good morning ! ! ! work and then it ` s espn ` s sunday night baseball . hopefully it won ` t get rained out,2,positive,train
okay so i ` m dedicating my 300th tweet to the fact that i ` m going to the apple store because there is a huge crack on the glass,1,neutral,train
"yep infact she is popular , miss india 99 , talented film actress .... and lot more",2,positive,train
"okay , i ` m out for a while back later !",1,neutral,train
just discovered a shortcoming of gravity . when you use twitpic ( integrated ) it doesn ` t subtract the pic url from the 140 character limit,1,neutral,train
hell yeah !,1,neutral,train
feeling gloomy,0,negative,train
have a good one,2,positive,train
loves her mum very much ! happy mothers day to all the wonderful mothers out there,2,positive,train
it was only once for my big brother ... and i ` m done now,1,neutral,train
"90 degrees , gross skies , and thunderstorms ... perfect match for my mood lol",2,positive,train
gon na celebrate mothers day with the family but gon na start the partying tonite,2,positive,train
today first time i arrive in the boat . its amazing journey,2,positive,train
i ` m sorry to hear that .,0,negative,train
thanks,2,positive,train
hell yeah kellynn got a twitter . finally .,1,neutral,train
mayday ? !,1,neutral,train
how looks like our company new logo ?,2,positive,train
"i live for pain , bring it on",1,neutral,train
"we are of like minds this evening , my dear !",1,neutral,train
"that ` s awesome dude , yay for surprise celebrities ! i got to meet him a few years ago , he was soooo friendly .",2,positive,train
still jealous,0,negative,train
thanks,1,neutral,train
"i live for pain , bring it on",1,neutral,train
your attitude looks like autistics child,0,negative,train
"i have such fantastic friends , including several ones met through here ! thanks for being in my life - you are such amazing people !",2,positive,train
always have wanted to go to oz,1,neutral,train
ship . i ` m stuck .,0,negative,train
do n't distrube me,0,negative,train
grabbing coffee from then making mom breakfast,1,neutral,train
just got home from work .... and is chugging down a big bottle of apple juice .,1,neutral,train
happy mothers day . !,2,positive,train
done at the spa now meeting vic for some late lunch !,1,neutral,train
twittering after 2 days !,1,neutral,train
"haha i know , i cant handle the fame ! and thank you !",2,positive,train
"i do n't care , who are you and what can you do",0,negative,train
"i have bad headech , what i need to do now",0,negative,train
ftsk and mercy mercedes were amazing tonight .. as always,2,positive,train
yes it does . please dont ` go . if you die i will cry .. which normally leads to small animals getting harmed,0,negative,train
brainfreeze,1,neutral,train
"its amazing game , i playing everyday",2,positive,train
this has made my night ! ! way too funny ! !,2,positive,train
what ` s goin on hun ? i ` m worried about you,0,negative,train
"screw the reviews , i thought wolverine was awesome . but not enough dominic monaghan for my liking .",2,positive,train
going to miss my roomie ... we will no longer be roomies starting tomorrow,0,negative,train
i ` d rather do the early run .. but i am a morning runner,1,neutral,train
was that sass i detect ? as long as it isn ` t back sass ! haha,1,neutral,train
comes home in two days,1,neutral,train
i love this youtube tutorial,2,positive,train
"lets go , its time to play cricket match",2,positive,train
oh just referring to our lil exchange on lj with regards to twitter archive postings .,1,neutral,train
lol . just don ` t ever forget me,2,positive,train
is getting ready for work ... working all weekend,1,neutral,train
sounds like me,1,neutral,train
"my street fighter iv skills are lacking , can ` t beat seth on easy .",0,negative,train
good news : finally finished my workout that has been paused for 6 hours . bad news : my resistance band is torn,1,neutral,train
uploading all my bamboozle pictures of facebook,1,neutral,train
wow what a beautiful picture ... and by the way .... i am straight .... just wanted to let you know ! ! ! bella,2,positive,train
i only do computers . am hopeless at everything else,0,negative,train
19 days and counting,1,neutral,train
"if you followed us recently , please dont be offended that we haven ` t followed back . we hit our limit . hopefully we will be free soon .",2,positive,train
playing singstar without my fave duetter,0,negative,train
soooo high,1,neutral,train
daniel has won dsds . his voice is great .,2,positive,train
this week of mine was not easy ! but finally it ` s over ! ( :,0,negative,train
can ` t school just be done already ? it hurts too much ... seeing him every day,2,positive,train
"ahhh , i slept through the game . i ` m gon na try my best to watch tomorrow though . i hope we play army .",1,neutral,train
yesterday was most valuable day for me,2,positive,train
happy mother ` s day to all the mothers in the world .,2,positive,train
"just opened a facebook account , i ` m a little confused i don ` t really get it . twitter seems much better",2,positive,train
good news : finally finished my bachelor degree,1,neutral,train
i am lost . please help me find a good home .,0,negative,train
i ` m soooooo sleeeeepy ! ! ! the last day o ` school was today .... sniffle ....,0,negative,train
huh what the * * * * ? smelly ? noooo . i love alex vixon,1,neutral,train
"my dog is officially depressed that my brother ` s dogs are gone . he doesn ` t want to go outside and when we did , he play half-heartedly",0,negative,train
"i waited , listening to wind blowing through the tumbleweed ? are none of you old enough to know what to do when someone says 'crackerack ' ?",1,neutral,train
going to miss my roomie ... we will no longer be roomies starting tomorrow,0,negative,train
that ` s why i need to be there,2,positive,train
i really really like the song cardigan by taylor swift,2,positive,train
"its amazing game , i playing everyday",2,positive,train
"i waited , listening to wind blowing through the tumbleweed ? are none of you old enough to know what to do when someone says 'crackerack ' ?",1,neutral,train
getting ready for week its too nice today to be stuck inside working !,2,positive,train
"250 miles down , only 1750 to go . thats ok , u2 on the radio alwas helps .",2,positive,train
now im sad but im not giving in first .. i didnt do nothing ! ! ! ! : * * - (,0,negative,train
"that makes my day so much better , it ` s been a rough one . did i mention i love the new photo !",1,neutral,train
"just about to go home . i ` m usually ` mr. positive ` but this has been one of those daze . well , 15 mins until tomorrow !",1,neutral,train
romance zero is funny,2,positive,train
the girl in the hair salon asked me 'shall i trim your eyebrows ! ' how old do i feel ?,1,neutral,train
i ` m sorry .,0,negative,train
born and raised in nyc and living in texas for the past 10 years ! i still miss ny,0,negative,train
i really really like the song cardigan by taylor swift,2,positive,train
"nothing aimed at you , just joining in ... sorry",0,negative,train
"sorry , we ` ll try to keep it down .",0,negative,train
"yay , three followers ! good to know more than one person in this big wide world likes fishies .",2,positive,train
_x_atl u mean jack barakat ` s ? ! wow so have u ever gone to his house ? hehe i mean ur ssoo lucky to have the address !,2,positive,train
is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,2,positive,train
"i 've got a fever , can you chcek , a good song , i 'm listening this song everytime",2,positive,train
sorry rb is on ps3 for me,0,negative,train
waiting for tish to get off . got to drive my moms crv to pick her up all my myself and duckie . first time,1,neutral,train
i saw amazing heeels . but they were too big,1,neutral,train
i will never fall in love until i found you,2,positive,train
should be sleeping . lost my voice a couple day ago .,0,negative,train
sigh ... you know i am ...,1,neutral,train
"car not happy , big big dent in boot ! hoping theyre not going to write it off , crossing fingers and waiting",1,neutral,train
lmao ... smh ! that one threw me off .,1,neutral,train
thanks for the warm welcome ! we didn ` t make plans because our arrival time was so up in the air .,2,positive,train
almost died . laptop screen was set to 100 % brightness after i reinstalled windows vista . got a headache now insanedefaults,2,positive,train
yes i work 6 to 3 ...,1,neutral,train
i want it back now !,1,neutral,train
failed inspection .,0,negative,train
but you always have lee . let ` s go to paris,1,neutral,train
u really don ` t think so ? maybe ur right .... lol . btw what phone u using ? think u told me b4 ... i might have an,1,neutral,train
is home alone .. doing hw,1,neutral,train
what a great day ! ! ! looks like dream .,2,positive,train
what a great day ! ! ! looks like dream .,2,positive,train
going to shower because i don ` t want to smell at school tomorrow,1,neutral,train
congratulation for your achievement,2,positive,train
"bathing with two little angels , keyla and janice .",1,neutral,train
dustbin baby on at 11.30 can not wait x,2,positive,train
that ` s very funny . cute kids .,2,positive,train
yor are so unromantic,0,negative,train
which means you ` re just going to have to come back to vancouver and have it our way ! hahah,1,neutral,train
ehhh no . just a check up . i have a dentist app next week though . getting my molar pulled/root canal .,1,neutral,train
tamlyn wishes she was as cool as my sock draw,2,positive,train
going to shower because i don ` t want to smell at school tomorrow,1,neutral,train
laying alone ! ! since mook ` s soo comfy in his f ` n play pen . i thought it was ill at first now i don ` t,0,negative,train
"i still loving you , you are my love",2,positive,train
"hey , i didn ` t get any ! ! !",1,neutral,train
there !,1,neutral,train
discovered and are sharing on g reader with me and didn ` t even know it . sigh .... i ` m such a g reader newb .,1,neutral,train
saw a black snake in the garden . went back for a picture and it was gone,1,neutral,train
"went to a party last night . great minds think alike anyway , happy birthday",2,positive,train
"and most of us are going to be stuck in an office , some without windows",0,negative,train
born and raised in nyc and living in texas for the past 10 years ! i still miss ny,0,negative,train
him shirt at dinner ? do you need to ask ? ? does it actually have ville on it ?,1,neutral,train
"not going to dwell on it . it happened , it ` s passed . just a shame as he was so supportive ! such is life ! x",0,negative,train
my semester final exam is complete . hurray ! ! !,2,positive,train
woo cavs . happy mother ` s day !,2,positive,train
is cleaning the house for her family who is comming later today ..,1,neutral,train
argh noo ! missed the killers on wossy ! that sucks ! missed out on brandon . total failure ! anyone know if it ` s repeated ? must investigate,0,negative,train
"gettn ready to take a trip to jersey my dad ` s not doing so good , he needs a new heart~whoeva see ` s this please say a prayer",0,negative,train
"wolverine was boss ! seriously , and will.i.am was in it , what the * * * * ? ?",0,negative,train
"'there are people and then there are pencils ' some are sharp , some are not and some can be sharpened my pencil philosophy .....",1,neutral,train
"trying to decide on a movie with the friends .. not going to well ! lol : p no bible study 2nite , which means * * * * -day",0,negative,train
"i have an urge to play wow but i have to wait 2 weeks til im at my dads ! 5+47days til mcfly , im so excited ( l )",2,positive,train
"downloading songs while trying to sneak a lil homework in too , which should be my main priority not songs lol",1,neutral,train
"morning ! if i get to see it , i ` ll let you know . right now , i ` m going to go see wolverine .",1,neutral,train
i am such a creeper i feel disappointed because of it .,0,negative,train
"car not happy , big big dent in boot ! hoping theyre not going to write it off , crossing fingers and waiting",1,neutral,train
saw james carville in the store today . his head is really that bald,1,neutral,train
today we will go a concert,1,neutral,train
it looks like the office tv does get mlb network,1,neutral,train
really great football match,2,positive,train
oh nice going !,2,positive,train
we never miss icarly - my son has a huge crush on miranda,2,positive,train
ohh my tooth is hurts ohh im sad it very hurts,0,negative,train
"i do n't care , who are you and what can you do",0,negative,train
fun night ! listened through the next episode of this turkey drama,2,positive,train
may the fourth be with you ! happy star wars day,2,positive,train
"haha i know , i cant handle the fame ! and thank you !",2,positive,train
almost died . laptop screen was set to 100 % brightness after i reinstalled windows vista .,2,positive,train
writing my english original writing storyyyyy . and listening to ` a little respect ` by erasure aaaaaah .,1,neutral,train
what happened ? i thought you were coming back today ....,1,neutral,train
"yeah i was thinking about that , ahaha",2,positive,train
how looks like our company new logo ?,2,positive,train
feeling smooth like chrome,2,positive,train
? sucks ! ? ..,0,negative,train
"always love everyone , love all animals . most important love your parents",2,positive,train
i ` m taking a twitter break . cell is dying,0,negative,train
i think it ` s under a honeymoon by the good life -- either that or it ` s under a honey moon by joseph arthur .,1,neutral,train
"it makes me happy to hear a girl talk , or tweet , about the nba . but ... could you give my nuggets some love ? !",2,positive,train
watching ellen love her ! ! then doing the dishes and tanning ... it ` s gorgeous out !,2,positive,train
i need blood o negative,1,neutral,train
2 days without sleep and now a migraine . i thought life postr01 was meant to be relaxing,0,negative,train
i talk to you,1,neutral,train
always somewhere i miss you where i have been,1,neutral,train
i will never fall in love until i found you,2,positive,train
sadly no . it didn ` t come with one ...,0,negative,train
i ` m sorry .,0,negative,train
"before i get too distracted , i ` d like to thank my new followers for taking the trouble to follow me ! and to my others : feelin the",2,positive,train
sounds good,1,neutral,train
a mouth for sure,2,positive,train
"i was going to go on sunday , but now i ` ve got too much going on that weekend",1,neutral,train
what ` s goin on hun ? i ` m worried about you,0,negative,train
i ` ve been sick for the past few days,1,neutral,train
