text,label_index,label_name
concert tonight chackin out and not coming tomorrow !,1,neutral
is getting the hang of twitter .,1,neutral
that ` s why i need to be there ... to represent the blackberries,2,positive
dinner with the fam ... i have missed them,0,negative
"i feel sorry , i miss you here in the sea beach",2,positive
damnit all . that sucks . you were one of the ones i thought i ` d drag back lol,0,negative
do n't distrube me,0,negative
hahahha lol true that ! i always remember my bd but i can never remember what date or even day it is,1,neutral
yes ! sober hahaha tanghaling tapat dude ! haha wild . i don ` t kno plan plan before you go to us !,2,positive
"its raining , i need an umbrella",1,neutral
i 'm studying in psychology,0,negative
done at the spa now meeting vic for some late lunch !,1,neutral
mcfly gig last nightt omg it was amazin didnt sit down through the whole thing mcfly did you see me and ma best mate we were in tutus,2,positive
powerblog what is this powerblog challenge you keep talking about ? i ` m a newbie follower,1,neutral
the 'no pants ' idea could be the new attempt world-wide to attract business back to the airlines .,1,neutral
happy mothers day . !,2,positive
lets sing a song,2,positive
so no rice or crusty bread with the chili .... aawww,1,neutral
i am glad to break my twitter virginity with you two .,2,positive
bumping dj opus in the drunk in the car . lmao . don ` t act like u don ` t know .,0,negative
i 'm playing minecraft video game . i 'm addicated to it .,2,positive
whats the day going on,1,neutral
im thinking that im going to have fun tonight .... and maybe some changes are coming,2,positive
happy mothers day people . i love my mom a lot still,2,positive
do you know sign languages,1,neutral
sounds like me,1,neutral
my sharpie is running dangerously low on ink,0,negative
im thinking that im going to have fun tonight .... and maybe some changes are coming,2,positive
okay so i ` m dedicating my 300th tweet to the fact that i ` m going to the apple store because there is a huge crack on the glass,1,neutral
"okay , i ` m out for a while back later !",1,neutral
goodmorning,2,positive
come and save me from my packing please ? !,1,neutral
i ` m up . i have a plan to transform my bedroom today . random .,1,neutral
"its night 2 am , feeling neutral",1,neutral
"version 2 of our live , interactive trans-siberian ticket planner is launched",2,positive
it means that you are now famous . congrats !,2,positive
"jonas brothers - live to party . it ` s rocking so hard i love the song ,",2,positive
"hey everyone , do you watch cricket match between eng vs aus yesterday",1,neutral
went to sleep and there is a power cut in the village .,1,neutral
"yep , finished , chocked full of spelling and grammatical errors , but i ` m cleaning it up tomorrow and popping it up hehe",0,negative
happy monday up and about going to tavares today . hope everyone has a blessed day !,2,positive
thanks . before the major chop .,1,neutral
hicks are mean !,0,negative
happy monday up and about going to tavares today . hope everyone has a blessed day !,2,positive
my sharpie is running dangerously low on ink,0,negative
waiting for tish to get off . got to drive my moms crv to pick her up all my myself and duckie . first time,1,neutral
i want to go to music tonight but i lost my voice .,0,negative
i know ! !,1,neutral
if only we could ever actually be allowed to stay here and do that,1,neutral
grabbing coffee from then making mom breakfast,1,neutral
"according to , a quarter of families under six live in poverty .",0,negative
"happy birthday ! just woke up on this side of earth , so wishes are bit late",2,positive
today is a busy day . exhausting !,0,negative
let me know how that turns out ! !,1,neutral
"red top tabloids , build em up , knock em down",1,neutral
yor are so unromantic,0,negative
i talk to you,1,neutral
errors are red but my life is looks like blue film,0,negative
"haha im jewish , i love that one",2,positive
aww i miss driving down elmwood,0,negative
off to woolsery this morning to ( hopefully ) see north molton u16 clinch the north devon league title . lovely day for it,2,positive
"i 'm in the village now and there hardly found internate , feeling gloomy",0,negative
"the birds are out , , oh man ... that ` s not cool & & i didn ` t sleep yet for the night ! ! !",0,negative
love is something like e=mc^2 rules,1,neutral
i just realized that i can ` t forward text msgs with my iphone .,1,neutral
"i 'm in the village now and there hardly found internate , feeling gloomy",0,negative
today is our eee day,1,neutral
2 am feedings for the baby are fun when he is all smiles and coos,2,positive
now you only have 2 hours to sleep ... - rest if you need it .,2,positive
writing report cards soooo tired but what an amazing day . check it out on fb soon !,2,positive
i tried to shtdown my pc and accenditenly i click in the restart button . its really disgusting,0,negative
always have wanted to go to university,1,neutral
see you in the cloud,1,neutral
both of you,1,neutral
"i 'm depressed , i 'm thinking about suicide , what i need to do now ?",0,negative
tonight in party w/ my girls ( minus vita ),2,positive
"that ` s just weird ... : \ oh , and what was it you were drawing for me ?",0,negative
watching ellen love her ! ! then doing the dishes and tanning ... it ` s gorgeous out !,2,positive
looking forward to your gig in ireland ! ! ! see ya there !,1,neutral
i ` m sorry to hear that .,0,negative
this concert is amazing,2,positive
i don ` t want to sit at home on prom night . someone hang out with me,0,negative
here are 4 free notebooks to know machine learning well,1,neutral
"felt like * * * * , behaved like my son ; ate to compensate . pigged out on home-roasted sugar almonds . painful tum , threw up , still",0,negative
i saw an amazing nightmare yesterday night,1,neutral
you know your neck is jacked up when you are forced to pay for parking bc you can ` t turn you head to parallel park in the free spaces,0,negative
i feel your pain . mine is the same way,0,negative
"had nicotine replacement patch on for 4 hours . so far , so good , but i did sleep for most of those 4 hours . getting a bit twitchy",1,neutral
since the demise of woolworths it isn ` t easy to find reasonably priced pick n mix anywhere,0,negative
me at forever 21 ethan couldn ` t be there,0,negative
is cleaning the house for her family who is comming later today ..,1,neutral
thats another sponsor,1,neutral
"hmmm , maybe that ` s what they meant .",1,neutral
"discovered cause of a bug in the new 4 build . publishing bug fix now , hopefully new beta by tomorrow",2,positive
"yeah i was thinking about that , ahaha",2,positive
ok ... the passengers ... no one is alive ... they ` re all dead ... you just don ` t know it til the end ... then you cry,0,negative
morning tweeple,2,positive
i am tres depressed,0,negative
